videoId,textDisplay,textOriginal,authorDisplayName,authorProfileImageUrl,authorChannelUrl,authorChannelId,canRate,viewerRating,likeCount,publishedAt,updatedAt
a51VH9BYzZA,この歌ですいちゃん知ったけど、クオリティ高すぎ。定期的に聞きたくなるね👍,この歌ですいちゃん知ったけど、クオリティ高すぎ。定期的に聞きたくなるね👍,SSアメジスト,https://yt3.ggpht.com/ytc/AMLnZu9aQrclpsHlPm5EPgKAkiHbDovmEscEctvdwcmS=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCoTWqCaj0ac6n9U6CT5pp2Q,UCoTWqCaj0ac6n9U6CT5pp2Q,True,none,9,2022-10-25T13:40:56Z,2022-10-25T13:40:56Z
a51VH9BYzZA,初めてVtuberさんの動画を見たんですが歌い方や安定してメロディーに乗れてるところも声もめっちゃ好きです。ありがとうございます。,"初めてVtuberさんの動画を見たんですが歌い方や安定してメロディーに乗れてるところも声もめっちゃ好きです。
ありがとうございます。",翡翠,https://yt3.ggpht.com/l7fsWHdjXzpIX1NXxyPcWMnFFhQjTNBeKLF2UyaNiHtux6mTgqFTGEY7jOAQv8WIM4M6Jhy6DB8=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCemFlRb5s2sczV8awja_mHA,UCemFlRb5s2sczV8awja_mHA,True,none,33,2022-10-03T07:57:40Z,2022-10-03T07:57:40Z
a51VH9BYzZA,友達にオススメされて最近見始めましたが、この方歌うますぎますな！！心に深く刺さるような歌で1日に10回は聞いてしまってますよ！最初はVtuberってどうなんだろう…とか思ってしまってましたが、すごく損してたことに気付かされました…！久しぶりにゲーム以外のものにどハマりしたかもしれない…,"友達にオススメされて最近見始めましたが、
この方歌うますぎますな！！
心に深く刺さるような歌で1日に10回は聞いてしまってますよ！
最初はVtuberってどうなんだろう…とか思ってしまってましたが、すごく損してたことに気付かされました…！
久しぶりにゲーム以外のものにどハマりしたかもしれない…",レオール,https://yt3.ggpht.com/lmV6z5ndX5dEEYproByYKyopuD5je0-st-dDozPgWjtrYex2qZa3FWKmTvzm9dqQEC0aiknCGw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCmEf_kA-r4Sarx3hy5yrofQ,UCmEf_kA-r4Sarx3hy5yrofQ,True,none,109,2022-06-06T22:23:03Z,2022-06-06T22:27:41Z
a51VH9BYzZA,"really loved it. It's like her story, she persevered until 1 mil and she'll keep on moving forward.  ""Not a Cinderella who waits forever but the prince who gets things done.""  I hope to keep supporting her.","really loved it. It's like her story, she persevered until 1 mil and she'll keep on moving forward.  ""Not a Cinderella who waits forever but the prince who gets things done.""  I hope to keep supporting her.",Wei Yun,https://yt3.ggpht.com/ytc/AMLnZu_HRgkMcmh6wraH5OyiKTclIf-4iyEZe51mETbfHg=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCoDr9qPdKkN1jZpMcGjk-1Q,UCoDr9qPdKkN1jZpMcGjk-1Q,True,none,864,2021-10-08T09:33:32Z,2021-10-08T09:33:32Z
a51VH9BYzZA,めちゃくちゃ仕事疲れて、もう夜遅いなぁって思いながら帰路につく時この曲がふと流れてきて、明日も頑張ろうって思えたんだよなぁ。いつも救われてます、この曲に。すいちゃんありがとう😭,"めちゃくちゃ仕事疲れて、もう夜遅いなぁって思いながら帰路につく時この曲がふと流れてきて、明日も頑張ろうって思えたんだよなぁ。
いつも救われてます、この曲に。
すいちゃんありがとう😭",yoru cha,https://yt3.ggpht.com/kOrYXupUgZVpE-CzSwaddK4YQbgQcjApgjaTuvoCfoxROTkGUjEIp2UFwxDMZa72Bew0Kw9dwGo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCTWiKH57LMUUQ-42dby9zgg,UCTWiKH57LMUUQ-42dby9zgg,True,none,47,2022-08-22T12:48:25Z,2022-08-22T12:48:25Z
a51VH9BYzZA,自分もみこちから流れ着きましたが、久し振りに歌で感動しました。,自分もみこちから流れ着きましたが、久し振りに歌で感動しました。,t y,https://yt3.ggpht.com/ytc/AMLnZu87_RKTOnEDCMgLLzJix4Q3AFidGO6XCnpl9lDoew=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCx7QqF0GDfTQYDyyNM32r2Q,UCx7QqF0GDfTQYDyyNM32r2Q,True,none,6,2022-11-06T11:54:13Z,2022-11-06T11:54:13Z
a51VH9BYzZA,ホロライブを最近見始めまして、みこちの「すてらすてら」から興味を持ち来ました。スゲー良い歌ですね✨,"ホロライブを最近見始めまして、みこちの「すてらすてら」から興味を持ち来ました。
スゲー良い歌ですね✨",こてぺん,https://yt3.ggpht.com/ytc/AMLnZu8LMuWNaVuyU-vdDd-IMN9WWw8QgZyyHJ7ToM3zAQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCuQBSU_sGz8LQ9eA0gWx36A,UCuQBSU_sGz8LQ9eA0gWx36A,True,none,43,2022-09-30T02:53:04Z,2022-09-30T02:53:04Z
a51VH9BYzZA,すごいいい曲で引き込まれる…神曲✨,"すごいいい曲で引き込まれる…
神曲✨",瑠唯凛-Ruiri,https://yt3.ggpht.com/DFddpYzwEW8xNN95hbiBaofAycMOykGeOSb-KHxijjk8LRfmYbF6j0qaTlLKvO3oPZn6Qmt4AA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCQe1Q-kOuDVg-4er4WQCsTQ,UCQe1Q-kOuDVg-4er4WQCsTQ,True,none,22,2022-08-20T08:38:34Z,2022-08-20T08:38:34Z
a51VH9BYzZA,“What i wanted to be never a Cinderella who waits forever” This will be my new life maxim. One more time say: Congrats on Still Still Stellar album and Stellar Stellar ☄️ release!!! 🎉,"“What i wanted to be never a Cinderella who waits forever” This will be my new life maxim. 

One more time say: Congrats on Still Still Stellar album and Stellar Stellar ☄️ release!!! 🎉",haseii.,https://yt3.ggpht.com/NAXV6xlyn4hkMFYdVN71l4fpambjArMvvVF9l_HqjpJg3bzmVfoUMNKbsuuwwiegUvMuAsb5Iw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCQ_UQ5hXvVawUOxNjZVSmaA,UCQ_UQ5hXvVawUOxNjZVSmaA,True,none,409,2021-10-08T09:43:06Z,2021-10-08T09:43:06Z
a51VH9BYzZA,"This song is about to turn 1 year old already but every time I listen to it, I still get the chills. Suisei's singing never fails to amaze me and this is why she is one of my favorites in HoloLive.","This song is about to turn 1 year old already but every time I listen to it, I still get the chills. Suisei's singing never fails to amaze me and this is why she is one of my favorites in HoloLive.",Joseph Padla ジョセフ パドラ,https://yt3.ggpht.com/R6gPuN9EkyjvhLoGDUovtVIGoDLhBJdMfEfL8fQ7ewjo70L1YSOPE1eprRorcO5tdJtRnchsLw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/channel/UCpM0Z4dBNaW_bmopA6p6mIg,UCpM0Z4dBNaW_bmopA6p6mIg,True,none,63,2022-10-01T12:44:34Z,2022-10-01T12:44:34Z
